Bandung,light rain,22.71
Jakarta,hujan rintik-rintik,26,2
Surabaya,sedikit berawan,30,6
Jakarta,thunderstorm with rain,26.2
mesir,langit cerah,24,9
Bali,awan tersebar,29,5
Bandung,awan mendung,22,3
Bali,awan tersebar,29,5
